City,Country,Continents
Auckland,New Zealand,Zealandia
Hong Kong,China,Asia
Hanoi,Vietnam,Asia
Cologne,Germany,Europe
Adelaide,Australia,Australia
Phoenix,United States of America,"America, North"
Sydney,Australia,Australia
Melbourne,Australia,Australia
Mexico City,Mexico,"America, North"
Baltimore,United States of America,"America, North"
Bangkok,Thailand,Asia
Sao Paulo,Brazil,"America, South"
Seattle,United States of America,"America, North"
Vic,Spain,Europe
Olomouc,Czechia,Europe
Lisbon,Portugal,Europe
Valencia,Spain,Europe
Odense,Denmark,Europe
Graz,Austria,Europe
Ghent,Belgium,Europe
Belfast,Northern Ireland,Europe
Bern,Switzerland,Europe
Chennai,India,Asia
Barcelona,Spain,Europe
