service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
128.4.271,0,0,0,0,0,0,1,20190214,20200331
128.4.451,0,0,0,0,0,1,0,20190214,20200331
128.4.586,1,1,1,1,1,0,0,20190214,20200331
129.2.766,1,1,1,1,1,0,0,20190214,20200331
129.2.901,0,0,0,0,0,0,1,20190214,20200331
129.2.991,0,0,0,0,0,0,0,20190214,20200331
129.2.1261,0,0,0,0,0,1,0,20190214,20200331
129.2.2172,0,0,0,0,0,1,0,20190214,20200331
130.2.35,1,1,1,1,1,1,1,20090617,20200331
132.6.314,0,0,0,0,0,0,1,20170509,20200331
132.6.809,1,1,1,1,1,0,0,20170509,20200331
132.6.899,0,0,0,0,0,1,0,20170509,20200331
132.6.944,0,0,0,0,0,0,1,20170509,20200331
132.6.1034,0,0,0,0,0,0,0,20170509,20200331
139.3.899,0,0,0,0,0,1,0,20180625,20200331
139.3.1619,1,1,1,1,1,0,0,20180625,20200331
141.8.314,0,0,0,0,0,0,1,20180625,20200331
141.8.494,0,0,0,0,0,1,0,20180625,20200331
141.8.809,1,1,1,1,1,0,0,20180625,20200331
141.8.899,0,0,0,0,0,1,0,20180625,20200331
141.8.944,0,0,0,0,0,0,1,20180625,20200331
141.8.1034,0,0,0,0,0,0,0,20180625,20200331
142.10.809,1,1,1,1,1,0,0,20190227,20200331
142.10.899,0,0,0,0,0,1,0,20190227,20200331
142.10.944,0,0,0,0,0,0,1,20190227,20200331
142.10.1034,0,0,0,0,0,0,0,20190227,20200331
143.7.314,0,0,0,0,0,0,1,20180812,20200331
143.7.764,0,0,0,0,0,1,0,20180812,20200331
143.7.809,1,1,1,1,1,0,0,20180812,20200331
143.7.944,0,0,0,0,0,0,1,20180812,20200331
146.7.494,0,0,0,0,0,1,0,20190227,20200331
146.7.809,1,1,1,1,1,0,0,20190227,20200331
146.7.899,0,0,0,0,0,1,0,20190227,20200331
146.7.944,0,0,0,0,0,0,1,20190227,20200331
146.7.1034,0,0,0,0,0,0,0,20190227,20200331
156.2.877,0,0,0,0,0,1,0,20170101,20200331
156.2.922,0,0,0,0,0,0,1,20170101,20200331
156.2.1597,1,1,1,1,1,0,0,20170101,20200331
157.7.304,0,0,0,0,0,0,1,20190301,20200331
157.7.754,0,0,0,0,0,1,0,20190301,20200331
157.7.799,1,1,1,1,1,0,0,20190301,20200331
158.5.754,0,0,0,0,0,1,0,20190326,20200331
158.5.799,1,1,1,1,1,0,0,20190326,20200331
163.4.2166,1,1,1,1,1,1,0,20170610,20200331
163.4.2168,0,0,0,0,0,0,1,20170610,20200331
163.4.2188,1,1,1,1,1,1,1,20170610,20200331
164.5.304,0,0,0,0,0,0,1,20190301,20200331
164.5.484,0,0,0,0,0,1,0,20190301,20200331
164.5.799,1,1,1,1,1,0,0,20190301,20200331
164.5.1564,1,1,1,1,1,0,0,20190301,20200331
165.5.754,0,0,0,0,0,1,0,20170930,20200331
165.5.799,1,1,1,1,1,0,0,20170930,20200331
167.15.748,0,0,0,0,0,1,0,20181221,20200331
167.15.793,1,1,1,1,1,0,0,20181221,20200331
167.15.928,0,0,0,0,0,0,1,20181221,20200331
168.2.793,1,1,1,1,1,0,0,20190321,20200331
173.6.748,0,0,0,0,0,1,0,20190130,20200331
173.6.793,1,1,1,1,1,0,0,20190130,20200331
173.6.928,0,0,0,0,0,0,1,20190130,20200331
173.6.973,0,0,0,0,0,1,1,20190130,20200331
177.2.745,0,0,0,0,0,1,0,20190401,20200331
177.2.790,1,1,1,1,1,0,0,20190401,20200331
177.2.925,0,0,0,0,0,0,1,20190401,20200331
181.9.745,0,0,0,0,0,1,0,20181217,20200331
181.9.790,1,1,1,1,1,0,0,20181217,20200331
181.9.925,0,0,0,0,0,0,1,20181217,20200331
194.6.790,1,1,1,1,1,0,0,20171202,20190401
194.6.880,0,0,0,0,0,1,0,20171202,20190401
194.6.925,0,0,0,0,0,0,1,20171202,20190401
194.6.2193,1,1,1,1,1,0,0,20171202,20190401
194.6.2194,1,1,1,1,1,0,0,20171202,20190401
195.7.790,1,1,1,1,1,0,0,20180122,20190401
195.7.880,0,0,0,0,0,1,0,20180122,20190401
195.7.925,0,0,0,0,0,0,1,20180122,20190401
195.7.2193,1,1,1,1,1,0,0,20180122,20190401
195.7.2194,1,1,1,1,1,0,0,20180122,20190401
196.7.790,1,1,1,1,1,0,0,20181217,20200331
196.7.880,0,0,0,0,0,1,0,20181217,20200331
196.7.925,0,0,0,0,0,0,1,20181217,20200331
196.7.1015,1,1,1,1,1,0,0,20181217,20200331
196.7.1645,0,0,0,0,0,1,1,20181217,20200331
197.5.790,1,1,1,1,1,0,0,20181217,20200331
197.5.880,0,0,0,0,0,1,0,20181217,20200331
197.5.925,0,0,0,0,0,0,1,20181217,20200331
197.5.1015,1,1,1,1,1,0,0,20181217,20200331
198.5.835,1,1,1,1,1,0,0,20120315,20190408
198.5.1600,1,1,1,1,1,0,0,20120315,20190408
198.5.1645,0,0,0,0,0,1,1,20120315,20190408
199.6.25,1,1,1,1,1,1,1,20171114,20200331
200.5.790,1,1,1,1,1,0,0,20171202,20200331
200.5.970,0,0,0,0,0,1,1,20171202,20200331
202.6.787,1,1,1,1,1,0,0,20160716,20190401
202.6.1012,0,0,0,0,0,0,0,20160716,20190401
202.6.1642,0,0,0,0,0,1,1,20160716,20190401
203.3.787,1,1,1,1,1,0,0,20171201,20190401
203.3.1012,0,0,0,0,0,0,0,20171201,20190401
203.3.1642,0,0,0,0,0,1,1,20171201,20190401
204.6.787,1,1,1,1,1,0,0,20181217,20200331
204.6.877,0,0,0,0,0,1,0,20181217,20200331
204.6.922,0,0,0,0,0,0,1,20181217,20200331
204.6.1012,0,0,0,0,0,0,0,20181217,20200331
206.9.742,0,0,0,0,0,1,0,20181217,20200331
206.9.787,1,1,1,1,1,0,0,20181217,20200331
206.9.922,0,0,0,0,0,0,1,20181217,20200331
206.9.967,0,0,0,0,0,1,1,20181217,20200331
207.2.787,1,1,1,1,1,0,0,20170227,20200331
207.2.1012,0,0,0,0,0,0,0,20170227,20200331
207.2.1642,0,0,0,0,0,1,1,20170227,20200331
208.4.787,1,1,1,1,1,0,0,20160716,20200331
208.4.1012,0,0,0,0,0,0,0,20160716,20200331
208.4.1642,0,0,0,0,0,1,1,20160716,20200331
209.4.832,1,1,1,1,1,0,0,20110602,20200331
209.4.922,0,0,0,0,0,0,1,20110602,20200331
209.4.1147,1,1,1,1,1,1,0,20110602,20200331
209.4.1597,1,1,1,1,1,0,0,20110602,20200331
210.4.1822,1,1,1,1,1,1,1,20180222,20200331
210.4.2187,1,1,1,1,1,1,1,20180222,20200331
211.5.1462,0,0,0,0,0,1,1,20180820,20200331
211.5.1507,0,0,0,0,0,1,1,20180820,20200331
211.5.1597,1,1,1,1,1,0,0,20180820,20200331
212.7.1597,1,1,1,1,1,0,0,20190305,20200331
212.7.1867,0,0,0,0,0,0,0,20190305,20200331
212.7.1912,0,0,0,0,0,1,1,20190305,20200331
212.7.1957,0,0,0,0,0,0,1,20190305,20200331
213.6.742,0,0,0,0,0,1,0,20190227,20200331
