service_id,date,exception_type
129.2.766,20190801,2
129.2.766,20190802,2
129.2.766,20190805,2
129.2.766,20190806,2
129.2.766,20190807,2
129.2.766,20190808,2
129.2.766,20190809,2
129.2.766,20190812,2
129.2.766,20190813,2
129.2.766,20190814,2
129.2.766,20190816,2
129.2.766,20190819,2
129.2.766,20190820,2
129.2.766,20190821,2
129.2.766,20190822,2
129.2.766,20190823,2
129.2.766,20190826,2
129.2.766,20190827,2
129.2.766,20190828,2
129.2.766,20190829,2
129.2.766,20190830,2
129.2.991,20190801,1
129.2.991,20190802,1
129.2.991,20190805,1
129.2.991,20190806,1
129.2.991,20190807,1
129.2.991,20190808,1
129.2.991,20190809,1
129.2.991,20190812,1
129.2.991,20190813,1
129.2.991,20190814,1
129.2.991,20190816,1
129.2.991,20190819,1
129.2.991,20190820,1
129.2.991,20190821,1
129.2.991,20190822,1
129.2.991,20190823,1
129.2.991,20190826,1
129.2.991,20190827,1
129.2.991,20190828,1
129.2.991,20190829,1
129.2.991,20190830,1
132.6.809,20190801,2
132.6.809,20190802,2
132.6.809,20190805,2
132.6.809,20190806,2
132.6.809,20190807,2
132.6.809,20190808,2
132.6.809,20190809,2
132.6.809,20190812,2
132.6.809,20190813,2
132.6.809,20190814,2
132.6.809,20190815,2
132.6.809,20190816,2
132.6.809,20190819,2
132.6.809,20190820,2
132.6.809,20190821,2
132.6.809,20190822,2
132.6.809,20190823,2
132.6.809,20190826,2
132.6.809,20190827,2
132.6.809,20190828,2
132.6.809,20190829,2
132.6.809,20190830,2
132.6.1034,20190801,1
132.6.1034,20190802,1
132.6.1034,20190805,1
132.6.1034,20190806,1
132.6.1034,20190807,1
132.6.1034,20190808,1
132.6.1034,20190809,1
132.6.1034,20190812,1
132.6.1034,20190813,1
132.6.1034,20190814,1
132.6.1034,20190815,1
132.6.1034,20190816,1
132.6.1034,20190819,1
132.6.1034,20190820,1
132.6.1034,20190821,1
132.6.1034,20190822,1
132.6.1034,20190823,1
132.6.1034,20190826,1
132.6.1034,20190827,1
132.6.1034,20190828,1
132.6.1034,20190829,1
132.6.1034,20190830,1
141.8.809,20190801,2
141.8.809,20190802,2
141.8.809,20190805,2
141.8.809,20190806,2
141.8.809,20190807,2
141.8.809,20190808,2
141.8.809,20190809,2
141.8.809,20190812,2
141.8.809,20190813,2
141.8.809,20190814,2
141.8.809,20190815,2
141.8.809,20190816,2
141.8.809,20190819,2
141.8.809,20190820,2
141.8.809,20190821,2
141.8.809,20190822,2
141.8.809,20190823,2
141.8.809,20190826,2
141.8.809,20190827,2
141.8.809,20190828,2
141.8.809,20190829,2
141.8.809,20190830,2
141.8.1034,20190801,1
141.8.1034,20190802,1
141.8.1034,20190805,1
141.8.1034,20190806,1
141.8.1034,20190807,1
141.8.1034,20190808,1
141.8.1034,20190809,1
141.8.1034,20190812,1
141.8.1034,20190813,1
141.8.1034,20190814,1
141.8.1034,20190815,1
141.8.1034,20190816,1
141.8.1034,20190819,1
141.8.1034,20190820,1
141.8.1034,20190821,1
141.8.1034,20190822,1
141.8.1034,20190823,1
141.8.1034,20190826,1
141.8.1034,20190827,1
141.8.1034,20190828,1
141.8.1034,20190829,1
141.8.1034,20190830,1
142.10.809,20190801,2
142.10.809,20190802,2
142.10.809,20190805,2
142.10.809,20190806,2
142.10.809,20190807,2
142.10.809,20190808,2
142.10.809,20190809,2
142.10.809,20190812,2
142.10.809,20190813,2
142.10.809,20190814,2
142.10.809,20190815,2
142.10.809,20190816,2
142.10.809,20190819,2
142.10.809,20190820,2
142.10.809,20190821,2
142.10.809,20190822,2
142.10.809,20190823,2
142.10.809,20190826,2
142.10.809,20190827,2
142.10.809,20190828,2
142.10.809,20190829,2
142.10.809,20190830,2
142.10.1034,20190801,1
142.10.1034,20190802,1
142.10.1034,20190805,1
142.10.1034,20190806,1
142.10.1034,20190807,1
142.10.1034,20190808,1
142.10.1034,20190809,1
142.10.1034,20190812,1
142.10.1034,20190813,1
142.10.1034,20190814,1
142.10.1034,20190815,1
142.10.1034,20190816,1
142.10.1034,20190819,1
142.10.1034,20190820,1
142.10.1034,20190821,1
142.10.1034,20190822,1
142.10.1034,20190823,1
142.10.1034,20190826,1
142.10.1034,20190827,1
142.10.1034,20190828,1
142.10.1034,20190829,1
142.10.1034,20190830,1
143.7.764,20190801,1
143.7.764,20190802,1
143.7.764,20190805,1
143.7.764,20190806,1
143.7.764,20190807,1
143.7.764,20190808,1
143.7.764,20190809,1
143.7.764,20190812,1
143.7.764,20190813,1
143.7.764,20190814,1
143.7.764,20190815,1
143.7.764,20190816,1
143.7.764,20190819,1
143.7.764,20190820,1
143.7.764,20190821,1
143.7.764,20190822,1
143.7.764,20190823,1
143.7.764,20190826,1
143.7.764,20190827,1
143.7.764,20190828,1
143.7.764,20190829,1
143.7.764,20190830,1
143.7.809,20190801,2
143.7.809,20190802,2
143.7.809,20190805,2
143.7.809,20190806,2
143.7.809,20190807,2
143.7.809,20190808,2
143.7.809,20190809,2
143.7.809,20190812,2
143.7.809,20190813,2
143.7.809,20190814,2
143.7.809,20190815,2
143.7.809,20190816,2
143.7.809,20190819,2
143.7.809,20190820,2
143.7.809,20190821,2
143.7.809,20190822,2
143.7.809,20190823,2
143.7.809,20190826,2
143.7.809,20190827,2
143.7.809,20190828,2
143.7.809,20190829,2
143.7.809,20190830,2
146.7.809,20190801,2
146.7.809,20190802,2
146.7.809,20190805,2
146.7.809,20190806,2
146.7.809,20190807,2
146.7.809,20190808,2
146.7.809,20190809,2
146.7.809,20190812,2
146.7.809,20190813,2
146.7.809,20190814,2
146.7.809,20190815,2
146.7.809,20190816,2
146.7.809,20190819,2
146.7.809,20190820,2
146.7.809,20190821,2
146.7.809,20190822,2
146.7.809,20190823,2
146.7.809,20190826,2
146.7.809,20190827,2
146.7.809,20190828,2
146.7.809,20190829,2
146.7.809,20190830,2
146.7.1034,20190801,1
146.7.1034,20190802,1
146.7.1034,20190805,1
146.7.1034,20190806,1
146.7.1034,20190807,1
146.7.1034,20190808,1
146.7.1034,20190809,1
146.7.1034,20190812,1
146.7.1034,20190813,1
146.7.1034,20190814,1
146.7.1034,20190815,1
146.7.1034,20190816,1
146.7.1034,20190819,1
146.7.1034,20190820,1
146.7.1034,20190821,1
146.7.1034,20190822,1
146.7.1034,20190823,1
146.7.1034,20190826,1
146.7.1034,20190827,1
146.7.1034,20190828,1
146.7.1034,20190829,1
146.7.1034,20190830,1
157.7.304,20190407,1
157.7.304,20190414,1
157.7.304,20190421,1
157.7.304,20190428,1
157.7.304,20190505,1
157.7.304,20190512,1
157.7.304,20190519,1
157.7.304,20190526,1
157.7.304,20190602,1
157.7.304,20190609,1
157.7.304,20190616,1
157.7.304,20190623,1
157.7.304,20190630,1
157.7.304,20190707,1
157.7.304,20190714,1
157.7.304,20190721,1
157.7.304,20190728,1
157.7.304,20190804,1
157.7.304,20190811,1
157.7.304,20190818,1
157.7.304,20190825,1
157.7.304,20190901,1
157.7.304,20190908,1
157.7.304,20190915,1
157.7.304,20190922,1
157.7.304,20190929,1
157.7.304,20191006,1
157.7.304,20191013,1
157.7.304,20191020,1
157.7.304,20191027,1
157.7.304,20191103,1
157.7.304,20191110,1
157.7.304,20191117,1
157.7.304,20191124,1
157.7.304,20191201,1
157.7.304,20191208,1
157.7.304,20191215,1
157.7.304,20191222,1
157.7.304,20191229,1
157.7.754,20190801,1
157.7.754,20190802,1
157.7.754,20190805,1
157.7.754,20190806,1
157.7.754,20190807,1
157.7.754,20190808,1
157.7.754,20190809,1
157.7.754,20190812,1
157.7.754,20190813,1
157.7.754,20190814,1
157.7.754,20190816,1
157.7.754,20190819,1
157.7.754,20190820,1
157.7.754,20190821,1
157.7.754,20190822,1
157.7.754,20190823,1
157.7.754,20190826,1
