route_id,service_id,trip_id,direction_id,shape_id,wheelchair_accessible
128.4,128.4.271,128.4.1.1.0,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.1,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.2,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.3,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.4,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.5,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.6,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.7,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.8,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.9,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.10,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.11,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.12,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.13,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.14,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.15,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.16,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.17,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.18,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.19,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.20,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.21,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.22,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.23,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.24,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.25,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.26,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.27,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.28,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.29,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.30,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.31,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.32,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.33,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.34,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.35,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.36,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.37,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.38,0,128.4.1.1,1
128.4,128.4.271,128.4.1.1.39,0,128.4.1.1,1
128.4,128.4.451,128.4.1.2.0,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.1,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.2,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.3,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.4,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.5,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.6,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.7,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.8,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.9,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.10,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.11,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.12,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.13,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.14,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.15,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.16,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.17,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.18,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.19,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.20,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.21,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.22,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.23,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.24,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.25,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.26,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.27,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.28,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.29,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.30,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.31,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.32,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.33,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.34,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.35,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.36,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.37,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.38,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.39,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.40,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.41,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.42,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.43,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.44,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.45,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.46,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.47,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.48,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.49,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.50,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.51,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.52,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.53,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.54,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.55,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.56,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.57,0,128.4.1.2,1
128.4,128.4.451,128.4.1.2.58,0,128.4.1.2,1
128.4,128.4.586,128.4.1.3.0,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.1,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.2,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.3,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.4,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.5,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.6,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.7,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.8,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.9,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.10,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.11,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.12,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.13,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.14,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.15,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.16,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.17,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.18,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.19,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.20,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.21,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.22,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.23,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.24,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.25,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.26,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.27,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.28,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.29,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.30,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.31,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.32,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.33,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.34,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.35,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.36,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.37,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.38,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.39,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.40,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.41,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.42,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.43,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.44,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.45,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.46,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.47,0,128.4.1.3,1
128.4,128.4.586,128.4.1.3.48,0,128.4.1.3,1
