service_id,date,exception_type
1.1.H190,20190704,1
1.1.H189,20190705,1
1.1.H191,20190706,1
1.1.H192,20190707,1
1.1.H190,20190708,1
1.1.H190,20190709,1
1.1.H190,20190710,1
1.1.H190,20190711,1
1.1.H189,20190712,1
1.1.H191,20190713,1
1.1.H192,20190714,1
1.1.H190,20190715,1
1.1.H190,20190716,1
1.1.H190,20190717,1
1.1.H190,20190718,1
1.1.H189,20190719,1
1.1.H191,20190720,1
1.1.H192,20190721,1
1.1.H190,20190722,1
1.1.H190,20190723,1
1.1.H190,20190724,1
1.1.H190,20190725,1
1.1.H189,20190726,1
1.1.H191,20190727,1
1.1.H192,20190728,1
1.1.H190,20190729,1
1.1.H190,20190730,1
1.1.H190,20190731,1
1.1.H190,20190801,1
1.1.H189,20190802,1
1.1.H191,20190803,1
1.1.H192,20190804,1
1.1.H190,20190805,1
1.1.H190,20190806,1
1.1.H190,20190807,1
1.1.H190,20190808,1
1.1.H189,20190809,1
1.1.H191,20190810,1
1.1.H192,20190811,1
1.1.H190,20190812,1
1.1.H190,20190813,1
1.1.H190,20190814,1
1.1.H192,20190815,1
1.1.H189,20190816,1
1.1.H191,20190817,1
1.1.H192,20190818,1
1.1.H190,20190819,1
1.1.H190,20190820,1
1.1.H190,20190821,1
1.1.H190,20190822,1
1.1.H189,20190823,1
1.1.H191,20190824,1
1.1.H192,20190825,1
1.1.H190,20190826,1
1.1.H190,20190827,1
1.1.H190,20190828,1
1.1.H190,20190829,1
1.1.H189,20190830,1
1.1.H187,20190831,1
1.1.H187,20190901,1
1.1.H175,20190902,1
1.1.H175,20190903,1
1.1.H175,20190904,1
1.1.H175,20190905,1
1.1.H172,20190906,1
1.1.H187,20190907,1
1.1.H187,20190908,1
1.1.H175,20190909,1
1.1.H175,20190910,1
1.1.H187,20190911,1
1.1.H175,20190912,1
1.1.H172,20190913,1
1.1.H187,20190914,1
1.1.H187,20190915,1
1.1.H175,20190916,1
1.1.H175,20190917,1
1.1.H175,20190918,1
1.1.H175,20190919,1
1.1.H172,20190920,1
1.1.H187,20190921,1
1.1.H187,20190922,1
1.1.H175,20190923,1
1.1.H187,20190924,1
1.1.H175,20190925,1
1.1.H175,20190926,1
1.1.H172,20190927,1
1.1.H187,20190928,1
1.1.H187,20190929,1
1.1.H175,20190930,1
1.1.H175,20191001,1
1.1.H175,20191002,1
1.1.H175,20191003,1
1.1.H172,20191004,1
1.1.H187,20191005,1
1.1.H187,20191006,1
1.1.H175,20191007,1
1.1.H175,20191008,1
1.1.H175,20191009,1
1.1.H175,20191010,1
1.1.H172,20191011,1
1.1.H187,20191012,1
1.1.H187,20191013,1
1.1.H175,20191014,1
1.1.H175,20191015,1
1.1.H175,20191016,1
1.1.H175,20191017,1
1.1.H172,20191018,1
1.1.H187,20191019,1
1.1.H187,20191020,1
1.1.H175,20191021,1
1.1.H175,20191022,1
1.1.H175,20191023,1
1.1.H175,20191024,1
1.1.H172,20191025,1
1.1.H187,20191026,1
1.1.H187,20191027,1
1.1.H175,20191028,1
1.1.H175,20191029,1
1.1.H175,20191030,1
1.1.H175,20191031,1
1.1.H187,20191101,1
1.1.H187,20191102,1
1.1.H187,20191103,1
1.1.H175,20191104,1
1.1.H175,20191105,1
1.1.H175,20191106,1
1.1.H175,20191107,1
1.1.H172,20191108,1
1.1.H187,20191109,1
1.1.H187,20191110,1
1.1.H175,20191111,1
1.1.H175,20191112,1
1.1.H175,20191113,1
1.1.H175,20191114,1
1.1.H172,20191115,1
1.1.H187,20191116,1
1.1.H187,20191117,1
1.1.H175,20191118,1
1.1.H175,20191119,1
1.1.H175,20191120,1
1.1.H175,20191121,1
1.1.H172,20191122,1
1.1.H187,20191123,1
1.1.H187,20191124,1
1.1.H175,20191125,1
1.1.H175,20191126,1
1.1.H175,20191127,1
1.1.H175,20191128,1
1.1.H172,20191129,1
1.1.H187,20191130,1
1.1.H187,20191201,1
1.1.H175,20191202,1
1.1.H175,20191203,1
1.1.H175,20191204,1
1.1.H175,20191205,1
1.1.H187,20191206,1
1.1.H187,20191207,1
1.1.H187,20191208,1
1.1.H175,20191209,1
1.1.H175,20191210,1
1.1.H175,20191211,1
1.1.H175,20191212,1
1.1.H172,20191213,1
1.1.H187,20191214,1
1.1.H187,20191215,1
1.1.H175,20191216,1
1.1.H175,20191217,1
1.1.H175,20191218,1
1.1.H175,20191219,1
1.1.H172,20191220,1
1.1.H187,20191221,1
1.1.H187,20191222,1
1.1.H175,20191223,1
1.1.H175,20191224,1
1.1.H187,20191225,1
1.1.H187,20191226,1
1.1.H172,20191227,1
1.1.H187,20191228,1
1.1.H187,20191229,1
1.1.H175,20191230,1
1.1.H175,20191231,1
1.2.H179,20190704,1
1.2.H171,20190705,1
1.2.H176,20190706,1
1.2.H186,20190707,1
1.2.H179,20190708,1
1.2.H179,20190709,1
1.2.H179,20190710,1
1.2.H179,20190711,1
1.2.H171,20190712,1
1.2.H176,20190713,1
1.2.H186,20190714,1
1.2.H179,20190715,1
1.2.H179,20190716,1
1.2.H179,20190717,1
1.2.H179,20190718,1
1.2.H171,20190719,1
1.2.H176,20190720,1
1.2.H186,20190721,1
1.2.H179,20190722,1
1.2.H179,20190723,1
1.2.H179,20190724,1
1.2.H179,20190725,1
1.2.H171,20190726,1
1.2.H176,20190727,1
1.2.H186,20190728,1
1.2.H179,20190729,1
1.2.H179,20190730,1
1.2.H179,20190731,1
1.2.H179,20190801,1
1.2.H171,20190802,1
1.2.H176,20190803,1
1.2.H186,20190804,1
1.2.H179,20190805,1
1.2.H179,20190806,1
1.2.H179,20190807,1
1.2.H179,20190808,1
1.2.H171,20190809,1
1.2.H176,20190810,1
1.2.H186,20190811,1
1.2.H179,20190812,1
1.2.H179,20190813,1
1.2.H179,20190814,1
1.2.H186,20190815,1
1.2.H171,20190816,1
1.2.H176,20190817,1
1.2.H186,20190818,1
1.2.H179,20190819,1
1.2.H179,20190820,1
1.2.H179,20190821,1
1.2.H179,20190822,1
1.2.H171,20190823,1
1.2.H176,20190824,1
1.2.H186,20190825,1
