route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1.1.1,L1,Hospital de Bellvitge - Fondo,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L1,CE1126,FFFFFF
1.2.1,L2,Paral·lel - Badalona Pompeu Fabra,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L2,93248F,FFFFFF
1.3.1,L3,Zona Universitària - Trinitat Nova,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L3,1EB53A,FFFFFF
1.4.1,L4,La Pau - Trinitat Nova,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L4,F7A30E,000000
1.5.1,L5,Cornellà Centre - Vall d'Hebron,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L5,005A97,FFFFFF
1.94.1,L9N,La Sagrera - Can Zam,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L9N,FB712B,FFFFFF
1.91.1,L9S,Aeroport T1 - Zona Universitària,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L9S,FB712B,FFFFFF
1.104.1,L10N,La Sagrera - Gorg,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L10N,00A6D6,FFFFFF
1.101.1,L10S,Foc - Collblanc,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L10S,00A6D6,FFFFFF
1.11.1,L11,Trinitat Nova - Can Cuiàs,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L11,89B94C,FFFFFF
1.99.1,FM,Paral·lel - Parc de Montjuïc,7,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/FM,004C38,FFFFFF
2.220.2999,D20,Pg. Marítim / Ernest Lluch,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/D20,93117e,FFFFFF
2.240.3025,D40,Pl. Espanya / Via Favència,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/D40,93117e,FFFFFF
2.250.3051,D50,Paral·lel / Ciutat Meridiana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/D50,93117e,FFFFFF
2.202.3068,H2,Av. Esplugues / Trinitat Nova,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H2,009ee0,FFFFFF
2.204.3018,H4,Zona Universitària / Bon Pastor,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H4,009ee0,FFFFFF
2.206.2995,H6,Zona Universitària / Onze de Setembre,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H6,009ee0,FFFFFF
2.208.3077,H8,Camp Nou / Bon Pastor,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H8,009ee0,FFFFFF
2.210.3078,H10,Pl. Sants / Olímpic de Badalona,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H10,009ee0,FFFFFF
2.212.2997,H12,Gornal / Besòs Verneda,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H12,009ee0,FFFFFF
2.214.3012,H14,Paral·lel / Sant Adrià,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H14,009ee0,FFFFFF
2.216.3008,H16,Pg. Zona Franca / Fòrum Campus Besòs,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H16,009ee0,FFFFFF
2.201.3069,V1,Districte Gran Via l'Hospitalet / Av. Esplugues,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V1,6ab023,FFFFFF
2.203.3004,V3,Zona Franca / Can Caralleu,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V3,6ab023,FFFFFF
2.205.2988,V5,Mare de Déu de Port / Pedralbes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V5,6ab023,FFFFFF
