from_stop_id,to_stop_id,transfer_type,min_transfer_time
1.117,1.915,2,45
1.120,1.517,2,45
1.122,1.321,2,90
1.125,1.212,2,45
1.126,1.326,2,45
1.127,1.424,2,45
1.131,1.218,2,45
1.133,1.526,2,45
1.133,1.930,2,90
1.140,1.942,2,45
1.210,1.323,2,15
1.210,1.9901,2,60
1.212,1.125,2,45
1.213,1.327,2,180
1.213,1.425,2,45
1.216,1.523,2,45
1.218,1.131,2,45
1.221,1.413,2,45
1.225,1.936,2,45
1.314,1.918,2,45
1.319,1.518,2,45
1.321,1.122,2,90
1.323,1.210,2,15
1.323,1.9901,2,60
1.326,1.126,2,45
1.327,1.213,2,180
1.327,1.425,2,180
1.328,1.521,2,45
1.333,1.534,2,45
1.339,1.434,2,45
1.339,1.1136,2,45
1.413,1.221,2,45
1.424,1.127,2,45
1.425,1.213,2,45
1.425,1.327,2,180
1.427,1.522,2,45
1.431,1.528,2,45
1.434,1.339,2,45
1.434,1.1136,2,45
1.515,1.916,2,45
1.517,1.120,2,45
1.518,1.319,2,45
1.521,1.328,2,45
1.522,1.427,2,45
1.523,1.216,2,45
1.526,1.133,2,45
1.526,1.930,2,90
1.528,1.431,2,45
1.534,1.333,2,45
1.930,1.133,2,90
1.930,1.526,2,90
1.942,1.140,2,45
1.915,1.117,2,45
1.916,1.515,2,45
1.918,1.314,2,45
1.936,1.225,2,45
1.1136,1.339,2,45
1.1136,1.434,2,45
1.9901,1.210,2,60
1.9901,1.323,2,60
