dest_name,dest_full_name,detail_name,detail_name_full,key,value,global_freq_2018_nov,pre-condition,description,domain,note,
fresh_food_market,Fresh Food / Market,supermarket_osm,Supermarket,shop,supermarket,"343,085",,A large store for groceries and other goods.,Food,,
fresh_food_market,Fresh Food / Market,supermarket_osm,Supermarket,supermarket,,95,,,Food,if not null then is a supermarket,
fresh_food_market,Fresh Food / Market,supermarket_osm,Supermarket,amenity,supermarket,37,,,Food,,
fresh_food_market,Fresh Food / Market,supermarket_osm,Supermarket,building,supermarket,"8,251",,A building built as a supermarket,Food,,
fresh_food_market,Fresh Food / Market,supermarket_osm,Supermarket,shop,grocery,"1,137",,,Food,,
fresh_food_market,Fresh Food / Market,bakery_osm,Bakery,shop,bakery,"154,061",,A shop selling bread,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,bakery_osm,Bakery,shop,pastry,"6,436",,A shop where sweet bakery products are produced and sold,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,bakery_osm,Bakery,name,Tortillería,,,,,,
fresh_food_market,Fresh Food / Market,meat_seafood_osm,Meat / Seafood,shop,butcher,"60,510",,A shop selling meat or meat products.,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,meat_seafood_osm,Meat / Seafood,shop,seafood,"11,651",,A shop selling fish/seafood.,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,meat_seafood_osm,Meat / Seafood,shop,fishmonger,"1,029",,,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,fruit_veg_osm,Fruit and Veg,shop,greengrocer,"33,791",,A shop which sells fruits and vegetables,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,fruit_veg_osm,Fruit and Veg,shop,fruit,50,,,Food,,
fresh_food_market,Fresh Food / Market,fruit_veg_osm,Fruit and Veg,shop,fruits,22,,,Food,,
fresh_food_market,Fresh Food / Market,fruit_veg_osm,Fruit and Veg,shop,vegetables,10,,,Food,,
fresh_food_market,Fresh Food / Market,deli_osm,Deli,shop,deli,"12,735",,A delicatessen store,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
fresh_food_market,Fresh Food / Market,deli_osm,Deli,shop,cheese,"2,415",,A shop mainly selling cheese.,Food,"Clusters of fresh food proprieters might indicate historical village hubs (or shopping centres, idk)",
convenience,Convenience,convenience_osm,Convenience,shop,convenience,"457,453",,A small local shop carrying a small subset of the items you would find in a supermarket.,Convenience,,
convenience,Convenience,petrolstation_osm,Convenience,amenity,fuel,"398,945",,A retail facility for refueling cars,Convenience,"<<< not sure if we should include this, some international reviewers questioned inclusion of petrol stations as convenience.",
convenience,Convenience,newsagent_osm,Convenience,shop,kiosk,"72,391",,"A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.",Convenience,,
convenience,Convenience,newsagent_osm,Convenience,shop,newsagent,"19,245",,A shop selling newspapers and magazines.,Convenience,,
convenience,Convenience,newsagent_osm,Convenience,shop,newsagency,10,,,Convenience,,
convenience,Convenience,newsagent_osm,Convenience,amenity,newsagency,3,,,Convenience,,
fresh_food_market,Fresh Food / Market,market_osm,Market,amenity,marketplace,52267,,A marketplace where trade is regulated.,"Convenience; Community, Culture and Leisure","Perhaps safest to consider as 'convenience' (although potentially distinct from, or more than this)",
fresh_food_market,Fresh Food / Market,market_osm,Market,amenity,market,206,,,"Convenience; Community, Culture and Leisure",included for completeness,
fresh_food_market,Fresh Food / Market,market_osm,Market,amenity,market_place,41,,,"Convenience; Community, Culture and Leisure",included for completeness,
fresh_food_market,Fresh Food / Market,market_osm,Market,amenity,public_market,22,,,"Convenience; Community, Culture and Leisure",included for completeness,
fresh_food_market,Fresh Food / Market,market_osm,Market,shop,marketplace,248,,,"Convenience; Community, Culture and Leisure",,
fresh_food_market,Fresh Food / Market,market_osm,Market,shop,market,246,,,"Convenience; Community, Culture and Leisure",,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),public_transport,platform,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),public_transport,stop_position,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),highway,bus_stop,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),highway,platform,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),railway,platform,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),public_transport,station,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),amenity,ferry_terminal,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),railway,tram_stop,,,,,,
pt_any,Public transport stop (any),pt_any,Public transport stop (any),railway,stop,,,,,,
