Category,Indicator,Variable,Units,Statistic,Scale
Study region information,Continent,Continent,,category,city
Study region information,Country,Country,,category,city
Study region information,2-letter country code,ISO 3166-1 alpha-2,,category,city
Study region information,Study region,study_region,,category,"city, grid"
Derived study region statistics,"Area (km²; accounting for urban restrictions, if applied)",Area (sqkm),km²,sum,city
Derived study region statistics,"Population estimate, as per configured population data source",Population estimate,persons,sum,city
Derived study region statistics,Population per km²,Population per sqkm,persons per km²,rate,city
Derived study region statistics,Intersection count (following consolidation based on intersection tolerance parameter in region configuration),Intersections,count,count,city
Derived study region statistics,Intersections per km²,Intersections per sqkm,count per km²,rate,city
Derived study region statistics,Area (km²),area_sqkm,km²,sum,"grid, custom areas"
Derived study region statistics,"Population estimate, as per configured population data source",pop_est,persons,sum,"grid, custom areas"
Derived study region statistics,Population per km²,pop_per_sqkm,persons per km²,rate,"grid, custom areas"
Derived study region statistics,Intersection count (following consolidation based on intersection tolerance parameter in region configuration),intersection_count,count,count,"grid, custom areas"
Derived study region statistics,Intersections per km²,intersections_per_sqkm,count per km²,rate,"grid, custom areas"
Analytical statistics,Sample points used in this analysis (generated along pedestrian network for populated grid areas),urban_sample_point_count,count,count,"city, grid"
Analytical statistics,Population grid cell identifier,grid_id,,category,"grid, sample point"
Analytical statistics,Sample point identifier,point_id,,category,sample point
Analytical statistics,Count of population grid cells associated with this area,grid_count,count,count,custom areas
Naming conventions and parameters,"The destination whose access is measured.  The default destinations are listed below.  Walking and cycling access draw on the same destination definitions, declared once in a region's ""accessibility"" configuration; each pairs a strict and a lenient variant of each core category (food, public open space, public transport) so that composite ""all categories reachable"" indicators can be derived per variant.",[destination],,,
Naming conventions and parameters,Fresh food market / supermarket,fresh_food_market,,,Food (strict)
Naming conventions and parameters,"Fresh food, pooled (market, supermarket or convenience store)",fresh_food_pooled,,,Food (lenient)
Naming conventions and parameters,Convenience store,convenience,,,Food
Naming conventions and parameters,Large public open space (≥ 1.5 ha),public_open_space_large,,,Open space (strict)
Naming conventions and parameters,Any public open space,public_open_space_any,,,Open space (lenient)
Naming conventions and parameters,Large public green space (≥ 1 ha; OpenStreetMap and Earth Engine),large_public_green_space,,,Open space
Naming conventions and parameters,Frequent public transport (≤ 20 min daytime service; GTFS),pt_frequent,,,"Transport (strict, cycling)"
Naming conventions and parameters,"Public transport, ≤ 20 min daytime service (GTFS)",pt_gtfs_freq_20,,,Transport (walking)
Naming conventions and parameters,"Public transport, ≤ 30 min daytime service (GTFS)",pt_gtfs_freq_30,,,Transport (walking)
Naming conventions and parameters,Any public transport stop (GTFS),pt_gtfs_any,,,Transport
Naming conventions and parameters,Any public transport stop (OpenStreetMap or custom),pt_osm_any,,,Transport
Naming conventions and parameters,Any public transport stop (best of GTFS and OpenStreetMap/custom),pt_any,,,Transport (lenient)
Naming conventions and parameters,"All categories reachable, strict variants",all_strict,,,Combined
Naming conventions and parameters,"All categories reachable, lenient variants",all_lenient,,,Combined
Naming conventions and parameters,Local activity centre (everyday destinations co-located),activity_centre_local,,,Derived
Naming conventions and parameters,Complete activity centre (high-amenity destinations co-located),activity_centre_complete,,,Derived
Naming conventions and parameters,"Regions can define their own destinations (custom OpenStreetMap tags or supplied datasets), pool categories, and configure additional combined-access sets and activity-centre definitions (a network location whose walkable catchment, default 400 m, contains at least one destination of every required category).  These follow the same naming patterns, e.g. all_<set>_<variant> for a named combined-access set and activity_centre_<definition>_<tier> for a named activity centre.  Combined-access composites have access indicators only (no nearest-distance variables).",,,,
Naming conventions and parameters,"Distance threshold (m).  Distances can be customised to locally policy-relevant values.  The core walking access indicators use the configured neighbourhood accessibility threshold (default 500 m).  Where a region configures the optional pedestrian accessibility analysis, walking access is additionally evaluated at each configured pedestrian distance, and cycling access at each configured cycling distance (defaults: 500 m, 1000 m, 2000 m and 5000 m), so an access variable exists for each distance.",[x],,,
Naming conventions and parameters,"Cycling route stress measure, appearing as an optional prefix on cycling variable names: ""lts1_"" for routes composed entirely of lowest-stress Level of Traffic Stress (LTS) 1 links (suitable for all ages and abilities); ""safe_"" for fully low-stress routes on LTS 1–2 links (the default headline measure); or no prefix for danger-weighted routing over the full cycling network (higher-stress links usable at a proportionate distance penalty).  Which measures are computed is configurable (cycling_indicators contrasts and measures settings).",[network],,,
Indicator estimates: access (walking),Score (0-1) for walking access within the configured accessibility threshold distance (default 500 m) to the destination,sp_access_[destination]_score,score 0-1,value,sample point
Indicator estimates: access (walking),Distance (m) along the pedestrian network to the nearest destination,sp_nearest_node_[destination],metres,value,sample point
Indicator estimates: access (walking),Percentage of population with walking access within [x] m of the destination,pct_access_[x]m_[destination]_score,percent,percentage,"grid, custom areas"
Indicator estimates: access (walking),Percentage of population with walking access within [x] m of the destination (population weighted),pop_pct_access_[x]m_[destination]_score,percent,percentage,"city, custom areas"
Indicator estimates: access (walking),Score (0/1): the destination is reachable within [x] m along the pedestrian network,sp_walk_access_[destination]_[x]m,score 0-1,value,sample point
Indicator estimates: access (walking),Distance (m) along the pedestrian network to the nearest destination,sp_walk_nearest_node_[destination],metres,value,sample point
Indicator estimates: access (walking),Percentage of population with walking access within [x] m to the destination,pct_access_walk_[destination]_[x]m,percent,percentage,"grid, custom areas"
Indicator estimates: access (walking),Percentage of population with walking access within [x] m to the destination (population weighted),pop_pct_access_walk_[destination]_[x]m,percent,percentage,"city, custom areas"
