service_id,date,exception_type
LA,20211225,2
LS,20211225,2
TD,20211225,2
VS,20211225,2
VSVF,20211225,2
SA,20211225,2
FE,20211225,1
SDF,20211225,1
LA,20220101,2
LS,20220101,2
TD,20220101,2
VS,20220101,2
VSVF,20220101,2
SA,20220101,2
FE,20220101,1
SDF,20220101,1
LA,20220106,2
LS,20220106,2
TD,20220106,2
DJ,20220106,2
FE,20220106,1
SDF,20220106,1
LA,20220301,2
LS,20220301,2
TD,20220301,2
FE,20220301,1
SDF,20220301,1
LA,20220414,2
LS,20220414,2
TD,20220414,2
DJ,20220414,2
FE,20220414,1
SDF,20220414,1
LA,20220415,2
LS,20220415,2
TD,20220415,2
VS,20220415,2
VSVF,20220415,2
FE,20220415,1
SDF,20220415,1
LA,20220530,2
LS,20220530,2
TD,20220530,2
FE,20220530,1
SDF,20220530,1
LA,20220624,2
LS,20220624,2
TD,20220624,2
VS,20220624,2
VSVF,20220624,2
FE,20220624,1
SDF,20220624,1
LA,20220815,2
LS,20220815,2
TD,20220815,2
FE,20220815,1
SDF,20220815,1
LA,20220908,2
LS,20220908,2
TD,20220908,2
DJ,20220908,2
FE,20220908,1
SDF,20220908,1
LA,20221012,2
LS,20221012,2
TD,20221012,2
FE,20221012,1
SDF,20221012,1
LA,20221101,2
LS,20221101,2
TD,20221101,2
FE,20221101,1
SDF,20221101,1
LA,20221206,2
LS,20221206,2
TD,20221206,2
FE,20221206,1
SDF,20221206,1
LA,20221208,2
LS,20221208,2
TD,20221208,2
FE,20221208,1
SDF,20221208,1
LA,20221226,2
LS,20221226,2
TD,20221226,2
FE,20221226,1
SDF,20221226,1
