stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1996,,"Eduardo Benot (Parque Santa Catalina)",,28.14203333,-15.43005000,,,,,,
1387,,"Acceso Manuel de Falla",,28.09638500,-15.44802800,,,,,,
1684,,"Alameda de Colón",,28.10276400,-15.41640000,,,,,,
1447,,"Amurga (Casablanca)",,28.07587817,-15.41907268,,,,,,
1950,,"Auditorio",,28.12968333,-15.44803333,,,,,,
1690,,"Aulario Ciencias Jurídicas",,28.07811300,-15.44949100,,,,,,
1971,,"Pintor Felo Monzón (Hipercor)",,28.09520000,-15.45618333,,,,,,
1176,,"Juan Carlos I, 23",,28.11555200,-15.44765400,,,,,,
1268,,"Primero de Mayo, 1",,28.10238333,-15.41758333,,,,,,
1370,,"Av. Escaleritas, 84",,28.11494300,-15.43849400,,,,,,
1357,,"Juan Carlos I (Hospital Dr. Negrín)",,28.11902300,-15.44423300,,,,,,
1174,,"Juan Carlos I, 9",,28.11801700,-15.44495300,,,,,,
1071,,"Alcalde Díaz Saavedra Navarro (Pl. Santa Isabel)",,28.09707000,-15.41236000,,,,,,
1040,,"Alc. J. Ramírez Bethencourt (Carvajal)",,28.11853200,-15.42120800,,,,,,
1038,,"Alc. J. Ramírez Bethencourt (Centro Insular de Deportes)",,28.11320000,-15.41720600,,,,,,
1642,,"Alc. J. Ramírez Bethencourt (Parque Romano)",,28.12610400,-15.42807800,,,,,,
1656,,"Amurga (Acceso a Los Granjeros)",,28.07434800,-15.42920200,,,,,,
1119,,"Amurga (C.S. Cono Sur)",,28.07651100,-15.41949500,,,,,,
1156,,"Amurga (C.S. Cono Sur)",,28.07633400,-15.41943450,,,,,,
1633,,"Amurga (Ctra. San Juan de Dios)",,28.07776400,-15.42732400,,,,,,
1658,,"Amurga (Carretera San Juan de Dios)",,28.07754600,-15.42752200,,,,,,
1158,,"Amurga (Casas Terreras El Lasso, 33)",,28.07529000,-15.42636900,,,,,,
1135,,"Amurga (Casas Terreras El Lasso, 33)",,28.07549000,-15.42622200,,,,,,
1137,,"Amurga (Casas Terreras El Lasso, 1)",,28.07512600,-15.42753200,,,,,,
1160,,"Amurga (Casas Terreras El Lasso, 1)",,28.07503300,-15.42733700,,,,,,
1141,,"Amurga (El Lasso, bloque 17)",,28.07657200,-15.42673200,,,,,,
1164,,"Amurga (El Lasso, bloque 17)",,28.07591800,-15.42780900,,,,,,
1162,,"Amurga (El Lasso, bloque 4)",,28.07543400,-15.42862600,,,,,,
1139,,"Amurga (El Lasso, bloque 5)",,28.07539100,-15.42837500,,,,,,
1541,,"Amurga (Iglesia)",,28.07683500,-15.42598000,,,,,,
1556,,"Amurga, frente iglesia",,28.07676900,-15.42610600,,,,,,
1445,,"Ciudad Deportiva Gran Canaria",,28.07692468,-15.41722053,,,,,,
1702,,"Av. de Ansite (Cementerio del Puerto)",,28.12370900,-15.43850800,,,,,,
1703,,"Av. de Ansite (Cementerio del Puerto)",,28.12391100,-15.43858200,,,,,,
1036,,"Av. de Canarias (San Telmo)",,28.10893800,-15.41523000,,,,,,
1072,,"Av. de La Feria (Infecar)",,28.10665400,-15.44527400,,,,,,
1617,,"Av. de La Feria (Infecar)",,28.10651600,-15.44486600,,,,,,
1595,,"Av. de La Feria (Urbanización Los Geranios)",,28.10679000,-15.44713200,,,,,,
1608,,"Av. de La Feria (Urbanización Los Geranios)",,28.10674100,-15.44701100,,,,,,
1061,,"Av. Escaleritas (C.C. La Ballena)",,28.10326600,-15.44382100,,,,,,
1070,,"Av. Escaleritas (C.C. La Ballena)",,28.10281800,-15.44271900,,,,,,
1299,,"Av. Escaleritas (Cáritas)",,28.12067600,-15.43655900,,,,,,
1301,,"Av. Escaleritas (Club La Cornisa)",,28.12302000,-15.43593300,,,,,,
1394,,"Av. Escaleritas (Urb. Parque Central)",,28.10156800,-15.44643800,,,,,,
1059,,"Av. Escaleritas (Urb. Sansofé)",,28.10433500,-15.44095700,,,,,,
1068,,"Av. Escaleritas (Urb. Sansofé)",,28.10406500,-15.44089800,,,,,,
1368,,"Av. Escaleritas, 104",,28.11250400,-15.43920900,,,,,,
1371,,"Av. Escaleritas, 109",,28.10765500,-15.44002200,,,,,,
1366,,"Av. Escaleritas, 114",,28.10985700,-15.43984800,,,,,,
1392,,"Av. Escaleritas, 169",,28.10012000,-15.44782200,,,,,,
1401,,"Av. Escaleritas, 178",,28.10054300,-15.44769700,,,,,,
1310,,"Av. Escaleritas, 48",,28.12163400,-15.43652100,,,,,,
1297,,"Av. Escaleritas, 51",,28.11858600,-15.43704100,,,,,,
1377,,"Av. Escaleritas, 57",,28.11480300,-15.43831500,,,,,,
1372,,"Av. Escaleritas, 70",,28.11791700,-15.43750000,,,,,,
1375,,"Av. Escaleritas, 79",,28.11279400,-15.43891300,,,,,,
1373,,"Av. Escaleritas, 95",,28.11009100,-15.43958900,,,,,,
1057,,"Av. Escaleritas, frente 111",,28.10774800,-15.44023700,,,,,,
1789,,"Garcia Lorca, 17",,28.12514900,-15.44032300,,,,,,
1779,,"Garcia Lorca, frente 14",,28.12793300,-15.43876100,,,,,,
1069,,"Guillermo Santana Rivero",,28.11316100,-15.44321100,,,,,,
1063,,"Guillermo Santana Rivero, frente 1",,28.10639500,-15.44417300,,,,,,
1065,,"Guillermo Santana Rivero, frente 19",,28.10894300,-15.44407000,,,,,,
1067,,"Guillermo Santana Rivero, frente 33",,28.11111500,-15.44366800,,,,,,
1404,,"Juan Carlos I (C.C. Las Ramblas)",,28.11371800,-15.44928200,,,,,,
1708,,"Juan Carlos I (Rotonda Hospital Dr. Negrín)",,28.11947900,-15.44320000,,,,,,
1121,,"Juan Carlos I, 10",,28.11818000,-15.44524100,,,,,,
1123,,"Juan Carlos I, 20",,28.11572400,-15.44792600,,,,,,
1403,,"Juan Carlos I, 50",,28.11319800,-15.45011000,,,,,,
1039,,"Juan XXIII (Clínica del Pino)",,28.11890200,-15.42682900,,,,,,
1196,,"Juan XXIII (Clínica del Pino)",,28.11878800,-15.42655100,,,,,,
1041,,"Juan XXIII (Colegio Canterbury)",,28.11855500,-15.42851000,,,,,,
1165,,"Av. Marítima del Sur (Hospital Materno Insular)",,28.08136700,-15.41651900,,,,,,
1035,,"Av. Marítima del Sur (Juan XXIII)",,28.12140300,-15.42387300,,,,,,
1398,,"Mesa y López (C.S. Alcaravaneras)",,28.13327500,-15.43632700,,,,,,
1409,,"Mesa y López (C.S. Alcaravaneras)",,28.13365000,-15.43625500,,,,,,
1400,,"Mesa y López (Madera y Corcho)",,28.13142200,-15.43862400,,,,,,
1411,,"Mesa y López (Madera y Corcho)",,28.13186900,-15.43848800,,,,,,
1734,,"Base Naval",,28.13462291,-15.42929458,,,,,,
1396,,"Néstor de la Torre (Mercado Central)",,28.13387101,-15.43231803,,,,,,
1497,,"Mesa y López, 85",,28.12973600,-15.44070700,,,,,,
1437,,"Mesa y López, 86",,28.13008333,-15.44056667,,,,,,
1347,,"Pintor Felo Monzón (Bambú)",,28.10846667,-15.45165000,,,,,,
1725,,"Pintor Felo Monzón (C.C. Siete Palmas)",,28.09860200,-15.45477700,,,,,,
1624,,"Pintor Felo Monzón (frente Hipercor)",,28.09540800,-15.45576000,,,,,,
1188,,"Pintor Felo Monzón (Trópico)",,28.10870000,-15.45128333,,,,,,
1186,,"Pintor Felo Monzón, 1",,28.11128333,-15.45068333,,,,,,
1698,,"Pintor Felo Monzón, 17",,28.10625200,-15.45192900,,,,,,
1173,,"Pintor Felo Monzón, 2",,28.11145000,-15.45095000,,,,,,
1721,,"Pintor Felo Monzón, 22",,28.10639700,-15.45232700,,,,,,
1700,,"Pintor Felo Monzón, 25",,28.10439200,-15.45245200,,,,,,
1637,,"Pintor Felo Monzón, 28",,28.10448000,-15.45278600,,,,,,
1638,,"Pintor Felo Monzón, 29",,28.10080200,-15.45343700,,,,,,
1636,,"Pintor Felo Monzón, 37",,28.09810300,-15.45453300,,,,,,
1723,,"Pintor Felo Monzón, 38",,28.10085200,-15.45374900,,,,,,
1243,,"Primero de Mayo (Correos)",,28.10614300,-15.42012500,,,,,,
1262,,"Primero de Mayo, 35",,28.10560200,-15.41994000,,,,,,
1003,,"Rafael Cabrera (San Telmo)",,28.10881700,-15.41592700,,,,,,
1957,,"Semana de la Pasión, 13 (Las Coloradas)",,28.16602500,-15.43528100,,,,,,
1651,,"Amurga (El Lasso, bloque 1)",,28.07446800,-15.42913800,,,,,,
1686,,"Bernardino Correa Viera (C.S. Triana)",,28.10104500,-15.41872500,,,,,,
1689,,"Bernardino Correa Viera, frente 13",,28.10108300,-15.41879800,,,,,,
1682,,"Biblioteca Universitaria",,28.07558700,-15.45174200,,,,,,
1688,,"Biblioteca Universitaria",,28.07562000,-15.45206200,,,,,,
1002,,"Francisco Gourié, 103",,28.10741600,-15.41637800,,,,,,
1273,,"Osorio, 28",,28.15269200,-15.42630300,,,,,,
1517,,"Aconcagua (Colegio Casablanca III)",,28.09387000,-15.44229400,,,,,,
1512,,"Aconcagua (Colegio Casablanca III)",,28.09373400,-15.44255000,,,,,,
1510,,"Aconcagua, 1",,28.09414900,-15.43942500,,,,,,
1621,,"Aconcagua, 38",,28.09172000,-15.44569500,,,,,,
1515,,"Pino Apolinario (Centro Cívico)",,28.09482887,-15.43909110,,,,,,
1029,,"Agustín Millares Sall (Edificio Mapfre)",,28.14787200,-15.42796700,,,,,,
1364,,"Agustina de Aragón (Iglesia San Marcos)",,28.10546500,-15.43921100,,,,,,
1362,,"Agustina de Aragón, 145",,28.10626300,-15.43751900,,,,,,
1360,,"Agustina de Aragón, 67",,28.10780200,-15.43473300,,,,,,
1282,,"Albareda (Mercado del Puerto)",,28.14814700,-15.42923900,,,,,,
1028,,"Albareda, 43",,28.14489700,-15.43032400,,,,,,
1530,,"Alcalde Díaz Saavedra Navarro (Prudencio Guzmán)",,28.09658200,-15.41239300,,,,,,
1302,,"Alceste, 27",,28.11024700,-15.43081700,,,,,,
1313,,"Alfredo L. Jones, 1",,28.14216300,-15.43042300,,,,,,
1610,,"Alicante (C.S. San José)",,28.09265000,-15.41384800,,,,,,
